title,year,venue_or_source,link,paper_type,insight_score,completeness_score,numeric_evidence_score,overall_label,relevance_note,quality_note
"Computing Large Convex Regions of Obstacle-Free Space Through Semidefinite Programming",2015,"Algorithmic Foundations of Robotics XI","https://link.springer.com/book/10.1007/978-3-319-16595-0",pure method,5,4,3,A,"IRIS anchor for alternating region inflation and inscribed ellipsoids","Official proceedings volume"
"Generating Large Convex Polytopes Directly on Point Clouds",2020,"arXiv public preprint","https://arxiv.org/abs/2010.08744",pure method,4,4,4,A,"Direct point-cloud free-polytope generation","Stable arXiv record"
"Fast Iterative Region Inflation for Computing Large 2-D/3-D Convex Regions of Obstacle-Free Space",2025,"IEEE Transactions on Robotics; arXiv","https://doi.org/10.1109/TRO.2025.3562482",pure method,5,5,5,Risk,"Nearest region-generation work; RsI plus MVIE and seed manageability","DOI and full arXiv text verified"
"Robust and Efficient Quadrotor Trajectory Generation for Fast Autonomous Flight",2019,"IEEE Robotics and Automation Letters; arXiv","https://arxiv.org/abs/1907.01531",method + benchmark,4,5,5,Risk,"B-spline convex-hull safety and dynamic feasibility with time adjustment","Full-text passages inspected"
"Real-time Trajectory Generation for Quadrotors using B-spline based Non-uniform Kinodynamic Search",2019,"arXiv public preprint","https://arxiv.org/abs/1904.12348",pure method,4,4,4,Risk,"Control-point search and dynamic-feasibility conditions","Abstract and related-paper metadata inspected"
"EGO-Planner: An ESDF-free Gradient-based Local Planner for Quadrotors",2020,"arXiv public preprint","https://arxiv.org/abs/2008.08835",method + benchmark,4,5,5,B,"Efficient collision-aware local replanning baseline","Abstract and related-paper metadata inspected"
"Geometrically Constrained Trajectory Optimization for Multicopters",2021,"arXiv public preprint updated 2022","https://arxiv.org/abs/2103.00190",pure method,5,5,5,Risk,"Continuous-time safe-corridor and dynamic constraints","Full-text passages inspected"
"Bubble Planner: Planning High-speed Smooth Quadrotor Trajectories using Receding Corridors",2022,"arXiv public preprint","https://arxiv.org/abs/2202.12177",method + benchmark,4,4,4,B,"Receding corridor and minimum-control-effort trajectory planning","Abstract and related-paper metadata inspected"
"Motion Planning around Obstacles with Convex Optimization",2022,"arXiv public preprint","https://arxiv.org/abs/2205.04422",pure method,5,5,4,A,"Broader convex-set motion-planning baseline","Abstract and related-paper metadata inspected"
"Towards Optimizing a Convex Cover of Collision-Free Space for Trajectory Generation",2024,"arXiv public preprint updated 2025","https://arxiv.org/abs/2406.09631",pure method,5,4,4,Risk,"Joint waypoint-containing convex-cover and trajectory optimization","Full-text passages inspected"
"Differentiable Collision-Free Parametric Corridors",2024,"arXiv public preprint","https://arxiv.org/abs/2407.12283",pure method,4,4,4,B,"Differentiable smooth corridor parameterization","Abstract and related-paper metadata inspected"
